source,source_type,relation,target,target_type,since,until,when,description,evidence_link
Jeremy Clarkson,person,is employed by,BBC,organisation,,2015,,Jeremy Clarkson was a presenter for the BBC motoring programme Top Gear until he was dismissed in 2015 after assaulting a producer.,https://www.desmog.com/jeremy-clarkson/
Jeremy Clarkson,person,contributed to,The Grand Tour,organisation,,,,"After leaving BBC, Clarkson co-created The Grand Tour, an Amazon-released series.",https://www.desmog.com/jeremy-clarkson/
Jeremy Clarkson,person,is employed by,Amazon Studios,organisation,,,,"Jeremy Clarkson is a presenter for The Grand Tour, an Amazon-released series.",https://www.desmog.com/jeremy-clarkson/
Jeremy Clarkson,person,is employed by,The Sun,organisation,,,,Jeremy Clarkson has written for The Sun as a columnist.,https://www.desmog.com/jeremy-clarkson/
Jeremy Clarkson,person,is employed by,The Times,organisation,,,,Jeremy Clarkson has written for The Sunday Times (The Times) as a columnist.,https://www.desmog.com/jeremy-clarkson/
Jeremy Clarkson,person,contributed to,Penguin Books,organisation,,,,Jeremy Clarkson is the author of over 10 books published by Penguin Books.,https://www.desmog.com/jeremy-clarkson/
Horace Cooper,person,is a member of,Heartland Institute,organisation,,,,Horace Cooper is a senior fellow at the Heartland Institute.,https://www.desmog.com/horace-cooper/
Horace Cooper,person,is director of,National Center for Public Policy Research (NCPPR),organisation,,,,Horace Cooper is a director of the National Center for Public Policy Research (NCPPR).,https://www.desmog.com/horace-cooper/
Horace Cooper,person,is a member of,Project 21's National Advisory Board,organisation,,,,Horace Cooper co-chairs Project 21's National Advisory Board.,https://www.desmog.com/horace-cooper/
Horace Cooper,person,is a member of,NCPPR,organisation,,,,Cooper is also an adjunct fellow with the NCPPR.,https://www.desmog.com/horace-cooper/
Horace Cooper,person,is president of,Energy Equality Coalition (EEC),organisation,,2017,,Cooper is listed as President/Secretary ('P/S') in public SEC filings for a group called the Energy Equality Coalition (EEC). The 2017 Annual Report is cited.,https://www.desmog.com/horace-cooper/
Horace Cooper,person,is a member of,Institute for Liberty (IFL),organisation,,,,He is also senior fellow of both The Institute for Liberty (IFL).,https://www.desmog.com/horace-cooper/
Horace Cooper,person,is employed by,Heartland Institute,organisation,2010,2011,,"According to leaked 2012 budget documents from The Heartland Institute, Cooper appeared under a personnel list of individuals who were paid to work for Heartland in 2011. The document describes Cooper as formerly “a legislative specialist working out of our Washington DC office since 2010” until he “was let go mid-year after we concluded he wasn't the right guy to lead a new and expanded Free to Choose Medicine project.”",https://www.desmog.com/horace-cooper/
Horace Cooper,person,is a member of,Heartland Institute,organisation,2012,,,The budget notes “Horace remains an unpaid senior fellow.”,https://www.desmog.com/horace-cooper/
Horace Cooper,person,is employed by,Voice of America (VOA),organisation,,,,Cooper was a former Chief of Staff and Deputy Director of the Voice of America for a year.,https://www.desmog.com/horace-cooper/
Horace Cooper,person,is employed by,George Mason University School of Law (GMUSL),organisation,2005,2007,,"From 2005 to 2007, Cooper was an assistant professor of law at George Mason University School of Law (GMUSL).",https://www.desmog.com/horace-cooper/
Horace Cooper,person,is a member of,GMUs Board of Visitors,organisation,,,,His biography notes that he also “served for four years on GMUs “Board of Visitors.”,https://www.desmog.com/horace-cooper/
Horace Cooper,person,is employed by,George W. Bush Administration,organisation,,,,Cooper “served in senior capacities in the George W. Bush Administration including stints as chief of staff at the Voice of America and the Dept of Labor's Employment Standards Administration.”,https://www.desmog.com/horace-cooper/
Horace Cooper,person,is employed by,Voice of America (VOA),organisation,2001,2002,,Cooper worked as chief of staff for Voice of America (VOA) from late 2001 to December 2002.,https://www.desmog.com/horace-cooper/
Horace Cooper,person,is employed by,Employment Standards Administration of the U.S. Department of Labor (DOL),organisation,,,,Cooper worked as chief of staff for the Employment Standards Administration of the U.S. Department of Labor (DOL).,https://www.desmog.com/horace-cooper/
Horace Cooper,person,is a member of,American Civil Rights Union,organisation,,,,Horace Cooper is a Senior Fellow at the American Civil Rights Union.,https://www.desmog.com/horace-cooper/
Horace Cooper,person,is employed by,Honorable Richard K. Armey,person,1994,2002,,Horace Cooper was former Counsel to the Honorable Richard K. Armey from 1994 to 2002.,https://www.desmog.com/horace-cooper/
Horace Cooper,person,is a member of,Centre for New Black Leadership,organisation,,,,Horace Cooper was a Former Senior Fellow at the Centre for New Black Leadership.,https://www.desmog.com/horace-cooper/
Energy Equality Coalition (EEC),organisation,is associated with,Fueling US Forward (FUSF),organisation,,,,"The EEC has maintained similar messaging to the now-defunct group Fueling US Forward (FUSF), and The New York Times noted that Cooper spoke at the same conference as FUSF President and CEO Charles Drevna.",https://www.desmog.com/horace-cooper/
Citizens for a Sound Economy (CSE),organisation,is derived from,Koch brothers,person,1984,,,CSE was founded by the Koch brothers in 1984 in an effort to promote deregulation.,https://www.desmog.com/horace-cooper/
FreedomWorks,organisation,is derived from,Citizens for a Sound Economy (CSE),organisation,,,,FreedomWorks was formed as a merger between Citizens for a Sound Economy (CSE) and Empower America.,https://www.desmog.com/horace-cooper/
FreedomWorks,organisation,is derived from,Empower America,organisation,,,,FreedomWorks was formed as a merger between Citizens for a Sound Economy (CSE) and Empower America.,https://www.desmog.com/horace-cooper/
