source,source_type,relation,target,target_type,since,until,when,description,evidence_link
Nick Holland,Person,is president of,Gold Fields Ltd,Organization,,,2020,"Nick Holland, as Gold Fields CEO, appeared to support carbon pricing in a Climate Change Policy Statement.",https://lobbymap.org/company/Gold-Fields-Ltd-9355ec9a413bc4b8d654f452f5e3bd66/projectlink/Gold-Fields-Ltd-in-Climate-Change-12fa5f37b9be0a6195a5dc25dc662a85
Gold Fields Ltd,Organization,is a member of,Minerals Council South Africa,Organization,,,,"Gold Fields Ltd has disclosed a list of its industry association memberships on its corporate website, which includes Minerals Council South Africa.",https://lobbymap.org/company/Gold-Fields-Ltd-9355ec9a413bc4b8d654f452f5e3bd66/projectlink/Gold-Fields-Ltd-in-Climate-Change-12fa5f37b9be0a6195a5dc25dc662a85
Gold Fields Ltd,Organization,is a member of,Industry Task Team on Climate Change,Organization,,,,"Gold Fields Ltd is a member of the Industry Task Team on Climate Change, although it does not disclose this membership.",https://lobbymap.org/company/Gold-Fields-Ltd-9355ec9a413bc4b8d654f452f5e3bd66/projectlink/Gold-Fields-Ltd-in-Climate-Change-12fa5f37b9be0a6195a5dc25dc662a85
Gold Fields Ltd,Organization,is a member of,Business Leadership South Africa,Organization,,,,"Gold Fields Ltd is a member of Business Leadership South Africa, although it does not disclose this membership.",https://lobbymap.org/company/Gold-Fields-Ltd-9355ec9a413bc4b8d654f452f5e3bd66/projectlink/Gold-Fields-Ltd-in-Climate-Change-12fa5f37b9be0a6195a5dc25dc662a85
Gold Fields Ltd,Organization,is a member of,Chamber of Minerals and Energy of Western Australia (CME),Organization,,,,Gold Fields Ltd is a member of the Chamber of Minerals and Energy Western Australia.,https://lobbymap.org/company/Gold-Fields-Ltd-9355ec9a413bc4b8d654f452f5e3bd66/projectlink/Gold-Fields-Ltd-in-Climate-Change-12fa5f37b9be0a6195a5dc25dc662a85
Fox Corporation,organisation,is associated with,20th Century Fox,organisation,,,,20th Century Fox is listed under 'Brands and Associated Companies' of Fox Corporation.,https://lobbymap.org/company/21st-Century-Fox/projectlink/21st-Century-Fox-In-Climate-Change
Fox Corporation,organisation,is associated with,Fox News,organisation,,,,Fox News is listed under 'Brands and Associated Companies' of Fox Corporation.,https://lobbymap.org/company/21st-Century-Fox/projectlink/21st-Century-Fox-In-Climate-Change
Fox Corporation,organisation,is associated with,Sky,organisation,,,,Sky is listed under 'Brands and Associated Companies' of Fox Corporation.,https://lobbymap.org/company/21st-Century-Fox/projectlink/21st-Century-Fox-In-Climate-Change
Fox Corporation,organisation,is associated with,Star TV,organisation,,,,Star TV is listed under 'Brands and Associated Companies' of Fox Corporation.,https://lobbymap.org/company/21st-Century-Fox/projectlink/21st-Century-Fox-In-Climate-Change
Fox Corporation,organisation,is a member of,Business Roundtable,organisation,,,,"Fox Corporation is shown to have a relationship with Business Roundtable, an industry association, which contributes to its Relationship Score.",https://lobbymap.org/company/21st-Century-Fox/projectlink/21st-Century-Fox-In-Climate-Change
Fox Corporation,organisation,is a member of,Clean Energy Buyers Association (CEBA),organisation,,,,"Fox Corporation is shown to have a relationship with Clean Energy Buyers Association (CEBA), an industry association, which contributes to its Relationship Score.",https://lobbymap.org/company/21st-Century-Fox/projectlink/21st-Century-Fox-In-Climate-Change
LobbyMap,organisation,active since,2015,gYear,2015,,,"LobbyMap's research and reports have been informing investors, the media, and the corporate sector since 2015.",https://lobbymap.org/company/21st-Century-Fox/projectlink/21st-Century-Fox-In-Climate-Change
InfluenceMap,organisation,is associated with,LobbyMap,organisation,,,,"LobbyMap is a platform related to InfluenceMap, which produces data-driven analysis.",https://lobbymap.org/company/21st-Century-Fox/projectlink/21st-Century-Fox-In-Climate-Change
21st Century Fox,organisation,same as,Fox Corporation,organisation,,,,"The URL path uses '21st-Century-Fox' while the main heading displays 'Fox Corporation', indicating they are the same entity.",https://lobbymap.org/company/21st-Century-Fox/projectlink/21st-Century-Fox-In-Climate-Change
Marubeni,organization,is a member of,Green Transformation (GX) League,organization,,,2022,"Marubeni disclosed its participation in the secretariat of the public-private 'Green Transformation (GX) League' overseen by METI to discuss 'sustainable markets and rule-making, as well as emissions trading' for decarbonization.",https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Soichi Inoue,person,is president of,Marubeni Vietnam,organization,,,2022,"Marubeni Vietnam President Soichi Inoue advocated for expanding the role of LNG in Vietnam’s Power Development Plan No. 8 (PDP8), while stressing the limitation of renewables.",https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni's Chairman,person,is a member of,Japan Business Federation (Keidanren),organization,,,,Marubeni’s Chairman is the Vice Chairman of the Board of Councilors at Keidanren.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Japan Foreign Trade Council (JFTC),organization,,,,Marubeni is listed as a member of Japan Foreign Trade Council (JFTC) in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Japan Business Federation (Keidanren),organization,,,,Marubeni is listed as a member of Japan Business Federation (Keidanren) in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Japan Chamber of Commerce and Industry (JCCI),organization,,,,Marubeni is listed as a member of Japan Chamber of Commerce and Industry (JCCI) in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Central Japan Economic Federation (CJEF),organization,,,,Marubeni is listed as a member of Central Japan Economic Federation (CJEF) in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Japan Hydrogen Association (JH2A),organization,,,,Marubeni is listed as a member of Japan Hydrogen Association (JH2A) in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Japan Aluminium Association (JAA),organization,,,,Marubeni is listed as a member of Japan Aluminium Association (JAA) in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Japan Energy Resources Development Association (JERDA),organization,,,,Marubeni is listed as a member of Japan Energy Resources Development Association (JERDA) (formerly JPDA) in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Japanese Chamber of Commerce and Industry in Vietnam,organization,,,,Marubeni is listed as a member of Japanese Chamber of Commerce and Industry in Vietnam in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Japan Carbon Frontier Organization (JCOAL),organization,,,,Marubeni is listed as a member of Japan Carbon Frontier Organization (JCOAL) in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Japan Chemical Industry Association (JCIA),organization,,,,Marubeni is listed as a member of Japan Chemical Industry Association (JCIA) in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Electric Power Industry Council for a Low Carbon Society,organization,,,,Marubeni is listed as a member of Electric Power Industry Council for a Low Carbon Society in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Kansai Economic Federation,organization,,,,Marubeni is listed as a member of Kansai Economic Federation in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Japan Atomic Industrial Forum (JAIF),organization,,,,Marubeni is listed as a member of Japan Atomic Industrial Forum (JAIF) in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Hydrogen Council,organization,,,,Marubeni is listed as a member of Hydrogen Council in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Consumer Goods Forum,organization,,,,Marubeni is listed as a member of Consumer Goods Forum in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,International Emissions Trading Association (IETA),organization,,,,Marubeni is listed as a member of International Emissions Trading Association (IETA) in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Real Estate Companies Association of Japan,organization,,,,Marubeni is listed as a member of Real Estate Companies Association of Japan in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Japan Apparel-Fashion Industry Council (JAFIC),organization,,,,Marubeni is listed as a member of Japan Apparel-Fashion Industry Council (JAFIC) in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Japan Climate Initiative (JCI),organization,,,,Marubeni is listed as a member of Japan Climate Initiative (JCI) in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Marubeni,organization,is a member of,Queensland Resources Council (QRC),organization,,,,Marubeni is listed as a member of Queensland Resources Council (QRC) in the relationship grid.,https://lobbymap.org/company/Marubeni-f72e29146d7ba4936cfe0df7d155f54e/projectlink/Marubeni-in-Climate-Change-e7ad551e7970572600759ea5275909f6
Scott Wyatt,person,is employed by,Viva Energy,organisation,,,2022,Scott Wyatt is identified as the CEO of Viva Energy in a July 2022 news article.,https://lobbymap.org/company/Viva-Energy-faad702ce32402fe2fdfa70522e4859b/projectlink/Viva-Energy-in-Climate-Change-193748346723e35d12b00011ae73a09f
Viva Energy,organisation,is a member of,Australian Pipelines and Gas Association,organisation,,,2022,Viva Energy disclosed its membership in the Australian Pipelines and Gas Association in its Sustainability Report 2022.,https://lobbymap.org/company/Viva-Energy-faad702ce32402fe2fdfa70522e4859b/projectlink/Viva-Energy-in-Climate-Change-193748346723e35d12b00011ae73a09f
