relation,amount
merged with,2
has member,44
owned,1
is an adjunct scholar at,1
awarded,1
is a senior faculty fellow of,1
received an award from,1
is a project of,1
was president of,12
is Executive Vice President of,1
associated with,110
created,6
active,5
is managing director of,1
funded,3
is CEO of,15
is a partner of,1
is employed by,10462
is National Chair of,1
is an author for,1
active since,2376
is founder and President of,1
is executive vice president of,2
is president of,2729
won a public relations contract for,1
has significant influence or control in,5
is leader of,2
is policy advisor to,1
joined,1
donated to,1
managed communications for,2
is senior vice president for governmental affairs at,1
co-organised,1
reposted,3
has contributed to,3
is executive vice president of public affairs of,1
is lead strategist of,1
has employee,1
was special adviser to,2
is a senior fellow at,1
was renamed as,1
is a director of,80
sponsored,4637
contributed to,9690
same as,913
was employed by,109
hosted,8
is assistant secretary of,1
is a major funder of,1
organized,2
co-founded,10
changed name to,1
is patron of,1
is Treasurer of,1
formerly employed by,1
is main shareholder of,1
was director of,1
doing business as,1
was CEO of,1
is senior vice president of human resources and public affairs of,1
is a member,1
is general counsel of,1
is director of,7697
founded,18
co-founded by,1
is Chief Operating Officer of,1
signed on to,1
is treasurer of,7
was associated with,8
is a climate physicist at,1
is member of,17
is Chair Emeritus of,3
was senior fellow at,1
is corporate law attorney of,1
is Board Member of,4
is officer of,1
is owned by,4
is co-founder of,2
was sold to,1
is founder of,9
published,3
is President/Director of,1
was a member of,18
is controlling entity of,1
was a speaker at,2
is a founding trustee of,1
is chief executive of,5
active until,234
derived from,7
created a crisis plan for,1
conducting public relations for,1
is owner of,2
is vice president of,22
is Vice President of,14
has president,3
is Executive Director of,4
is senior vice president of,1
is deputy director of,1
is associated with,4920
is derived from,2068
registered,1
was funded by,7905
is lead author of,2
is Senior Director of,4
is director for,1
has partner,5345
publishes,1
commissioned,2
co-founder,8
founder of,2
helped organize,2
is CIO of,1
was derived from,15
is executive director of,6
distributed,1
is a member of,18943
employed by,5
was chief executive of,1
is chairman of,26
is published by,1
is founding partner of,1
incorporated,1
is Director of Strategic Partners of,1
co-promoted,1
contracted,1
is Chief Executive Officer of,1
is a trustee of,4
presented to,1
was sponsored by,1
is vice president for government sales at,1
is chief operating officer for,3
launched,1
is secretary of,3
heads,1
is executive of,33
represented,3
employed,4
founded by,1
is the owner of,2
founder,6
lobbied for,1
was published by,1
was founded by,1
launched and built,1
is editor of,3
acquired,22
distributed to,1
is director of research at,1
supported,1
is chair of,2
is Secretary of,2
promoted,2
